colony	meandp	Donor	CellType	Cell.type2	Tissue	Age	Project	Nmut	Nmut_adj_as	Nmut_indel	Nmut_adj_as_indel	Nmut_hsc_as	Nmut_hsc_as_indel
T18_B5	33.13138586	AX001	CD4 Naive	Naive T	blood	63	1903	1565	1529.987013	86	81.63003119	1563.86799687031	83.9094537327562
T18_B6	20.86972438	AX001	CD4 Naive	Naive T	blood	63	1903	1444	1629.598169	52	68.70936979	1459.45818739895	61.6175419815127
T18_F5	28.05200947	AX001	CD4 Memory	Memory T	blood	63	1903	1752	1779.537061	81	84.03294691	1753.2375005376	82.5586971133469
T18_G10	22.2663318	AX001	CD8 Memory	Memory T	blood	63	1903	2248	2394.066853	68	81.70688108	2258.65312700087	75.7090525111505
T18_H3	22.05285736	AX001	CD8 Memory	Memory T	blood	63	1903	2245	2396.781293	88	102.1541506	2256.29266369718	95.9885215291661
T19_B11	28.73023496	AX001	CD4 Naive	Naive T	blood	63	1903	1591	1608.377497	62	63.94783763	1591.74338382671	62.9911003875184
T19_B2	16.41954899	AX001	CD4 Naive	Naive T	blood	63	1903	1120	1472.075488	43	70.5821726	1166.34395571006	60.148270121795
T19_B7	32.50962646	AX001	CD4 Naive	Naive T	blood	63	1903	1519	1490.150888	77	73.45124808	1518.03367191546	75.2880095548195
T19_B9	20.20620486	AX001	CD4 Naive	Naive T	blood	63	1903	1286	1492.260042	52	70.20069262	1304.33318929121	62.5935538626157
T19_E1	6.781500793	AX001	CD4 Memory	Memory T	blood	63	1903	757	1822.644405	14	73.70684765	1187.98750077815	58.6235277858715
T19_E9	39.45251925	AX001	CD4 Memory	Memory T	blood	63	1903	1833	1751.989357	74	62.42367008	1831.03542014339	68.8845243540743
